systemID,systemName,x,y,2271,2317,2319,2341,2366,2571,2596,2750,2765,2767,2772,2773,2774,2783,2786,2821,2822,2830,2864,3025,3030,3040,3049,3050a,3050b,3050c,3051,3052,3057,3058,3059a,3059b,3059c,3059d,3063,3067,3068,3075,3079,3081,3085,3095,3130,3135,3145,3151,3152
2720,Wappingers,175.250,-231.186,U,I,I,I,FS,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Kathil Operational Area|Region 2,FS|Capellan March|Kathil Operational Area|Region 2,FS|Capellan March|Kathil Operational Area|Region 2,FS|Capellan March|Kathil Operational Area|Region 2,FS|Capellan March|Kathil Operational Area|Kathil PDZ,FS|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FCF|Capellan March|Kathil Operational Area|Kathil PDZ,FS|Capellan March|Kathil Operational Area|Kathil PDZ,FS|Capellan March|Kathil Operational Area|Kathil PDZ,FS|Capellan March|Kathil Operational Area|Kathil PDZ,FS|Capellan March|Kathil Operational Area|Kathil PDZ,FS|Capellan March|Kathil Operational Area|Kathil PDZ,FS|Capellan March|Kathil Operational Area|Kathil PDZ,FS|Capellan March|Kathil Operational Area|Kathil PDZ,FS|Capellan March|Taygeta Operational Area|Carmacks Prefecture,FS|Capellan March|Taygeta Operational Area|Carmacks Prefecture,FS|Capellan March|Sirdar Operational Area|Carmacks Prefecture,FS|Capellan March|Taygeta Operational Area|Carmacks Prefecture,FS|Capellan March|Taygeta Operational Area|Carmacks Prefecture
2721,Ward,72.103,-408.200,I,I,I,I,I,I,I,CC|Sian Commonality|Region 14,CC|Sian Commonality|Region 14,CC|Sian Commonality|Region 14,CC|Sian Commonality|Region 14,CC|Sian Commonality|Region 14,CC|Sian Commonality|Region 14,CC|Sian Commonality|Region 14,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Sian Commonality|Region 15,CC|Victoria Commonality|Region 7,CC|Victoria Commonality|Region 7,CC|Victoria Commonality|Region 7,CC|Victoria Commonality|Region 7,CC|Victoria Commonality|Region 7,CC|Victoria Commonality|Region 7,CC|Victoria Commonality|Region 7,CC|Victoria Commonality|Region 7,CC|Victoria Commonality|Region 7,CC|Victoria Commonality|Region 7,CC|Victoria Commonality|Region 7,CC|Victoria Commonality|Region 7,CC|Victoria Commonality|Region 7
2722,Warlock,120.192,-257.747,U,U,U,U,SIML,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 4,SIC|Region 4,SIC|Region 4,SIC|Region 3,SIC|Region 3,SIC|Region 3,SIC|Region 3,SIC|Region 3,SIC|Region 3,SIC|Region 3,SIC|Region 3,SIC|Region 3,SIC|Region 3,SIC|Region 3,SIC|Region 3,CC|St. Ives Commonality|Region 3,CC|St. Ives Commonality|Region 4,CC|St. Ives Commonality|Region 4,CC|St. Ives Commonality|Region 4,CC|St. Ives Commonality|Region 4,CC|St. Ives Commonality|Region 4,CC|St. Ives Commonality|Region 4,CC|St. Ives Commonality|Region 4,CC|St. Ives Commonality|Region 4,CC|St. Ives Commonality|Region 4,CC|Sian Commonality|Region 12,CC|Sian Commonality|Region 12,CC|Sian Commonality|Region 12
2723,Warren,298.034,-328.317,U,U,U,U,U,TC,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Warren PDZ,FS|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FCF|Capellan March|Taygeta Operational Area|Warren PDZ,FS|Capellan March|Taygeta Operational Area|Warren PDZ,FS|Capellan March|Taygeta Operational Area|Warren PDZ,D(FS/TC),FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ
2724,Warrumbungle,-194.159,195.280,U,U,U,U,U,U,U,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
2725,Wasat,-19.908,-54.593,I,FWL,FWL,FWL,FWL,TH|Terra Firma Province,TH|Terra Firma Province,TH|Terra Firma Province,TH|Terra Firma Province,AE|Terra Firma Province,SL,SL,SL,FWL,FWL,CC|Tikonov Commonality|Region 5,CC|Tikonov Commonality|Region 5,CC|Tikonov Commonality|Region 5,CC|Tikonov Commonality|Region 5,FWL,TFR,FCL|Sarna March|Terra Firma Operational Area|Region 2,FCL|Sarna March|Terra Firma Operational Area|Region 2,FCL|Sarna March|Terra Firma Operational Area|Region 2,FCL|Sarna March|Terra Firma Operational Area|Region 2,FCL|Sarna March|Terra Firma Operational Area|Region 2,FCL|Sarna March|Terra Firma Operational Area|Region 2,FCL|Sarna March|Terra Firma Operational Area|Region 2,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,WB,CoF,RS|Prefecture VI,RS|Prefecture VI,RS|Prefecture VI,RS|Prefecture VI,SA,FWL|Augustine Alliance,FWL|Augustine Alliance,FWL|Augustine Alliance
2726,Washburn,-155.320,-103.721,MCM,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,MCM,MCM,MSC,MSC,MSC,MSC,WE,WE,WE
2727,Watermael,-118.449,-336.048,U,U,U,U,FWL,FWL|Duchy of Andurien,FWL|Duchy of Andurien,FWL|Duchy of Andurien,FWL|Duchy of Andurien,FWL|Duchy of Andurien,FWL|Duchy of Andurien,FWL|Duchy of Andurien,FWL|Duchy of Andurien,FWL|Duchy of Andurien,FWL|Duchy of Andurien,FWL|Duchy of Andurien,FWL|Duchy of Andurien,FWL|Duchy of Andurien,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,I,I,I,DA,DA,DA,DA,DA
2728,Waunakee,317.420,14.949,U,I,I,I,I,FS|Draconis March|Fairfax Operational Area|Region 2,FS|Draconis March|Fairfax Operational Area|Region 2,FS|Draconis March|Fairfax Operational Area|Region 2,FS|Draconis March|Fairfax Operational Area|Region 2,FS|Draconis March|Fairfax Operational Area|Region 2,FS|Draconis March|Fairfax Operational Area|Region 2,FS|Draconis March|Fairfax Operational Area|Region 2,FS|Draconis March|Fairfax Operational Area|Region 2,FS|Draconis March|Fairfax Operational Area|Region 2,FS|Draconis March|Fairfax Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Bremond PDZ,FS|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FCF|Draconis March|Woodbine Operational Area|Bremond PDZ,FS|Draconis March|Woodbine Operational Area|Bremond PDZ,FS|Draconis March|Woodbine Operational Area|Bremond PDZ,FS|Draconis March|Woodbine Operational Area|Bremond PDZ,FS|Draconis March|Woodbine Operational Area|Bremond PDZ,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Robinson Operational Area|Dahar PDZ,FS|Draconis March|Robinson Operational Area|Dahar PDZ,FS|Draconis March|Robinson Operational Area|Dahar PDZ,FS|Draconis March|Robinson Operational Area|Dahar PDZ,FS|Draconis March|Robinson Operational Area|Dahar PDZ
2729,Waxell,279.421,-179.941,U,I,I,I,I,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Region 1,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FCF|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region,FS|Crucis March|Chirikof Operational Area|Remagen Combat Region
2730,Waycross,141.124,-22.791,U,U,U,U,U,U,U,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
2731,Waypoint,-489.177,183.055,U,U,U,U,U,U,U,RW|Timbuktu Province,RW|Timbuktu Province,RW|Timbuktu Province,RW|Timbuktu Province,RW|Timbuktu Province,RW|Timbuktu Province,I,I,I,I,I,I,I,I,I,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,RC,TiC,TiC
2732,Wazan,5.940,-140.692,I,I,I,I,SS,CC|Sarna Commonality|Region 3,CC|Sarna Commonality|Region 3,CC|Sarna Commonality|Region 3,CC|Sarna Commonality|Region 3,CC|Sarna Commonality|Region 3,CC|Sarna Commonality|Region 3,CC|Sarna Commonality|Region 3,CC|Sarna Commonality|Region 3,CC|Sarna Commonality|Region 3,CC|Sarna Commonality|Region 3,FWL,FWL,FWL,CC|Sarna Commonality|Region 3,CC|Sarna Commonality|Region 6,LC|Sarna March|Palos Operational Area|Region 2,FCL|Sarna March|Palos Operational Area|Region 2,FCL|Sarna March|Palos Operational Area|Region 2,FCL|Sarna March|Palos Operational Area|Region 2,FCL|Sarna March|Palos Operational Area|Region 2,FCL|Sarna March|Palos Operational Area|Region 2,FCL|Sarna March|Palos Operational Area|Region 2,FCL|Sarna March|Palos Operational Area|Region 2,CC|Capella Commonality|Region 7,CC|Capella Commonality|Region 7,CC|Capella Commonality|Region 7,CC|Capella Commonality|Region 7,CC|Capella Commonality|Region 7,CC|Capella Commonality|Region 7,CC|Liao Commonality|Region 8,CC|Liao Commonality|Region 8,CC|Liao Commonality|Region 8,CC|Liao Commonality|Region 8,CC|Liao Commonality|Region 8,CC|Liao Commonality|Region 8,CC|Sarna Commonality|Region 1,CC|Sarna Commonality|Region 1,CC|Liao Commonality|Region 1,CC|Liao Commonality|Region 4,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4
2733,Weatogue,98.735,-276.675,U,U,U,U,U,U,U,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,CC|St. Ives Commonality|Region 5,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,CC|Sian Commonality|Region 7,CC|Sian Commonality|Region 7,CC|Sian Commonality|Region 7
2734,Wedderborg,472.222,-85.391,U,U,U,U,U,U,U,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
2735,Wedgefield,371.449,-162.597,U,I,I,I,I,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FCF|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region,FS|Crucis March|Minette Operational Area|Point Barrow Combat Region
2736,Weekapaug,107.785,-225.435,U,U,U,U,SIML,CC|St. Ives Commonality|Region 7,CC|St. Ives Commonality|Region 7,CC|St. Ives Commonality|Region 7,CC|St. Ives Commonality|Region 7,CC|St. Ives Commonality|Region 7,CC|St. Ives Commonality|Region 7,CC|St. Ives Commonality|Region 7,CC|St. Ives Commonality|Region 7,CC|St. Ives Commonality|Region 7,CC|St. Ives Commonality|Region 7,CC|St. Ives Commonality|Region 7,CC|St. Ives Commonality|Region 7,CC|St. Ives Commonality|Region 6,CC|St. Ives Commonality|Region 6,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FCF|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Kittery Prefecture,FS|Capellan March|Kathil Operational Area|Kittery Prefecture,CC|St. Ives Commonality|Region 4,CC|St. Ives Commonality|Region 4,CC|St. Ives Commonality|Region 4
2737,Wei,63.844,-119.184,I,CCom,SS,SS,SS,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,CC|Sarna Commonality|Region 5,LC|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,I,I,I,I,I,I,CC|Liao Commonality|Region 7,CC|Liao Commonality|Region 7,CC|Liao Commonality|Region 7,WB,CC|Liao Commonality|Region 7,CC|Liao Commonality|Region 7,RS|Prefecture V,RS|Prefecture V,RS|Prefecture V,CC|Liao Commonality|Region 6,CC|Sarna Commonality|Region 6,CC|Sarna Commonality|Region 6,CC|Sarna Commonality|Region 6
